ts,cluster,queue_len,slots_total,slots_used,free,U_t,E_t,p_fair,lam_time,lam_cost,lam_fair
2025-11-18 10:57:20,clusterA,0,4,0,4,0.0,0.0,0.0,1.0,0.0,0.0
2025-11-18 10:57:20,clusterB,0,4,0,4,0.0,0.0,0.0,1.0,0.0,0.0
2025-11-18 10:57:25,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-18 10:57:25,clusterB,0,4,0,4,0.0,0.04,0.0,0.96,0.04,0.0
2025-11-18 10:57:30,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-18 10:57:30,clusterB,0,4,0,4,0.0,0.07,0.0,0.9299999999999999,0.07,0.0
2025-11-18 10:57:35,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-18 10:57:35,clusterB,0,4,0,4,0.0,0.11,0.0,0.89,0.11,0.0
2025-11-18 10:57:40,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-18 10:57:40,clusterB,0,4,0,4,0.0,0.15,0.0,0.85,0.15,0.0
2025-11-18 10:57:45,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-18 10:57:45,clusterB,0,4,0,4,0.0,0.19,0.0,0.81,0.19,0.0
2025-11-18 10:57:50,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-18 10:57:50,clusterB,0,4,0,4,0.0,0.22,0.0,0.78,0.22,0.0
2025-11-18 10:57:55,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-18 10:57:55,clusterB,0,4,0,4,0.0,0.26,0.0,0.74,0.26,0.0
2025-11-18 10:58:00,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-18 10:58:00,clusterB,0,4,0,4,0.0,0.3,0.0,0.7,0.3,0.0
2025-11-18 10:58:05,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-18 10:58:05,clusterB,0,4,0,4,0.0,0.34,0.0,0.6599999999999999,0.34,0.0
2025-11-18 10:58:10,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-18 10:58:10,clusterB,0,4,0,4,0.0,0.37,0.0,0.63,0.37,0.0
2025-11-18 10:58:15,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-18 10:58:15,clusterB,0,4,0,4,0.0,0.41,0.0,0.5900000000000001,0.41,0.0
2025-11-18 10:58:20,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-18 10:58:20,clusterB,0,4,0,4,0.0,0.45,0.0,0.55,0.45,0.0
2025-11-18 10:58:25,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-18 10:58:25,clusterB,0,4,0,4,0.0,0.49,0.0,0.51,0.49,0.0
2025-11-18 10:58:30,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-18 10:58:30,clusterB,0,4,0,4,0.0,0.52,0.0,0.48,0.52,0.0
2025-11-18 10:58:35,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-18 10:58:35,clusterB,0,4,0,4,0.0,0.56,0.0,0.43999999999999995,0.56,0.0
2025-11-18 10:58:40,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-18 10:58:40,clusterB,0,4,0,4,0.0,0.6,0.0,0.4,0.6,0.0
2025-11-18 10:58:45,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-18 10:58:45,clusterB,0,4,0,4,0.0,0.64,0.0,0.36,0.64,0.0
2025-11-18 10:58:50,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-18 10:58:50,clusterB,0,4,0,4,0.0,0.67,0.0,0.32999999999999996,0.67,0.0
2025-11-18 10:58:55,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2025-11-18 10:58:55,clusterB,0,4,0,4,0.0,0.71,0.0,0.29000000000000004,0.71,0.0
2025-11-18 10:59:00,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
