ts,event,job_id,cluster,world_size,note,metadata_json
2025-11-18 11:02:48,submitted,job-01ea3466edcc,-,4,"SJF g=4, T_est=1103.60s, batch=128","{""model"": ""ResNet-18"", ""dataset"": ""CIFAR-100"", ""epochs"": 20, ""batch_size_per_gpu"": 128, ""user_request"": ""Maximize GPU utilization for this run — I’m fine if it uses more energy temporarily."", ""est_runtime_sec"": 1103.6}"
2025-11-18 11:02:48,started,job-01ea3466edcc,clusterA,4,"SJF started_on=clusterA, g=4, nodes=['node_a', 'node_b', 'node_c', 'node_d'], queued_sec=0.3, T_est=1103.60s","{""model"": ""ResNet-18"", ""dataset"": ""CIFAR-100"", ""nodes"": [""node_a"", ""node_b"", ""node_c"", ""node_d""], ""queued_sec"": 0.2659895420074463, ""started_ts"": 1763431368.9710166, ""est_runtime_sec"": 1103.6}"
2025-11-18 11:06:05,submitted,job-187dfb783d64,-,2,"SJF g=2, T_est=1945.60s, batch=128","{""model"": ""ResNet-50"", ""dataset"": ""CIFAR-10"", ""epochs"": 20, ""batch_size_per_gpu"": 128, ""user_request"": ""Please minimize queue waiting time. Start as soon as a slot is available."", ""est_runtime_sec"": 1945.6}"
2025-11-18 11:06:06,started,job-187dfb783d64,clusterB,2,"SJF started_on=clusterB, g=2, nodes=['node_e', 'node_f'], queued_sec=0.6, T_est=1945.60s","{""model"": ""ResNet-50"", ""dataset"": ""CIFAR-10"", ""nodes"": [""node_e"", ""node_f""], ""queued_sec"": 0.6169304847717285, ""started_ts"": 1763431566.2149203, ""est_runtime_sec"": 1945.6}"
2025-11-18 11:08:54,finished,job-01ea3466edcc,clusterA,4,exit=0,"{""end_ts"": 1763431734.467525, ""jct_sec"": 365.49650835990906, ""queued_sec"": 0.2659895420074463}"
2025-11-18 11:11:07,submitted,job-a8135144994d,-,2,"SJF g=2, T_est=2868.80s, batch=64","{""model"": ""DistilBERT"", ""dataset"": ""SST-2"", ""epochs"": 20, ""batch_size_per_gpu"": 64, ""user_request"": ""This job is for testing only — minimal cost and stable runtime are more important than raw speed."", ""est_runtime_sec"": 2868.8}"
2025-11-18 11:11:07,started,job-a8135144994d,clusterA,2,"SJF started_on=clusterA, g=2, nodes=['node_a', 'node_b'], queued_sec=0.6, T_est=2868.80s","{""model"": ""DistilBERT"", ""dataset"": ""SST-2"", ""nodes"": [""node_a"", ""node_b""], ""queued_sec"": 0.5579104423522949, ""started_ts"": 1763431867.571836, ""est_runtime_sec"": 2868.8}"
2025-11-18 11:14:55,submitted,job-eb2563a157a3,-,1,"SJF g=1, T_est=1060.00s, batch=32","{""model"": ""ResNet-18"", ""dataset"": ""CIFAR-100"", ""epochs"": 20, ""batch_size_per_gpu"": 32, ""user_request"": ""Please keep the cost reasonable while still maintaining decent speed."", ""est_runtime_sec"": 1060.0}"
2025-11-18 11:14:55,started,job-eb2563a157a3,clusterA,1,"SJF started_on=clusterA, g=1, nodes=['node_c'], queued_sec=0.1, T_est=1060.00s","{""model"": ""ResNet-18"", ""dataset"": ""CIFAR-100"", ""nodes"": [""node_c""], ""queued_sec"": 0.11787152290344238, ""started_ts"": 1763432095.8373373, ""est_runtime_sec"": 1060.0}"
2025-11-18 11:14:56,submitted,job-3fc15cb88b04,-,2,"SJF g=2, T_est=5652.00s, batch=64","{""model"": ""DenseNet-121"", ""dataset"": ""TinyImageNet"", ""epochs"": 20, ""batch_size_per_gpu"": 64, ""user_request"": ""Maximize GPU utilization for this run — I’m fine if it uses more energy temporarily."", ""est_runtime_sec"": 5652.0}"
