job_id,cluster,model,dataset,world_size,submitted_ts,started_ts,end_ts,queued_sec,jct_sec,status
job-01ea3466edcc,clusterA,ResNet-18,CIFAR-100,4,1763431368.705027,1763431368.9710166,,0.2659895420074463,,running
job-187dfb783d64,clusterB,ResNet-50,CIFAR-10,2,1763431565.5979898,1763431566.2149203,,0.6169304847717285,,running
job-01ea3466edcc,clusterA,ResNet-18,CIFAR-100,4,1763431368.705027,1763431368.9710166,1763431734.467525,0.2659895420074463,365.49650835990906,completed
job-a8135144994d,clusterA,DistilBERT,SST-2,2,1763431867.0139256,1763431867.571836,,0.5579104423522949,,running
job-eb2563a157a3,clusterA,ResNet-18,CIFAR-100,1,1763432095.7194657,1763432095.8373373,,0.11787152290344238,,running
job-3fc15cb88b04,clusterB,DenseNet-121,TinyImageNet,2,1763432096.254332,1763432096.8818655,,0.6275334358215332,,running
job-0732de336201,clusterA,EfficientNetV2-S,MNIST,1,1763432742.200347,1763432742.575928,,0.3755810260772705,,running
job-187dfb783d64,clusterB,ResNet-50,CIFAR-10,2,1763431565.5979898,1763431566.2149203,1763432937.0483959,0.6169304847717285,1370.8334755897522,completed
job-52bf0a7eff11,clusterB,EfficientNetV2-S,MNIST,2,1763432656.3149786,1763432937.8249574,,281.5099787712097,,running
job-eb2563a157a3,clusterA,ResNet-18,CIFAR-100,1,1763432095.7194657,1763432095.8373373,1763433657.7296536,0.11787152290344238,1561.8923163414001,completed
job-0ee7f7774fc2,clusterA,DistilBERT,SST-2,1,1763433497.6387799,1763433658.618622,,160.97984218597412,,running
job-52bf0a7eff11,clusterB,EfficientNetV2-S,MNIST,2,1763432656.3149786,1763432937.8249574,1763435386.2547617,281.5099787712097,2448.4298043251038,completed
job-563bd37e3f8e,clusterB,DistilBERT,SST-2,1,1763433552.3659694,1763435386.5313933,,1834.1654238700867,,running
job-b8524d374f6c,clusterB,EfficientNetV2-S,MNIST,1,1763434811.3692055,1763435386.5528595,,575.1836540699005,,running
job-3fc15cb88b04,clusterB,DenseNet-121,TinyImageNet,2,1763432096.254332,1763432096.8818655,1763435396.0433357,0.6275334358215332,3299.1614701747894,completed
job-06ebcb69cd02,clusterB,DistilBERT,SST-2,2,1763433404.747366,1763435396.6041434,,1991.8567774295807,,running
job-a8135144994d,clusterA,DistilBERT,SST-2,2,1763431867.0139256,1763431867.571836,1763435687.4594116,0.5579104423522949,3819.8875756263733,completed
job-c0606d7f44a7,clusterA,EfficientNetV2-S,MNIST,2,1763434197.5056498,1763435687.9630313,,1490.4573814868927,,running
job-0732de336201,clusterA,EfficientNetV2-S,MNIST,1,1763432742.200347,1763432742.575928,1763436473.6353745,0.3755810260772705,3731.0594465732574,completed
job-0c77c10bad10,clusterA,EfficientNetV2-S,MNIST,1,1763436139.1303375,1763436473.8386447,,334.70830726623535,,running
job-c0606d7f44a7,clusterA,EfficientNetV2-S,MNIST,2,1763434197.5056498,1763435687.9630313,1763438200.9427843,1490.4573814868927,2512.9797530174255,completed
job-6e1813991580,clusterA,DeepSpeech2,ARCTIC,1,1763437858.6086836,1763438201.7191455,,343.1104619503021,,running
job-e2363ad94688,clusterA,ResNet-18,CIFAR-100,1,1763436512.2040927,1763438201.7382822,,1689.5341894626617,,running
job-6e1813991580,clusterA,DeepSpeech2,ARCTIC,1,1763437858.6086836,1763438201.7191455,1763438580.1208742,343.1104619503021,378.4017286300659,completed
