ts,event,job_id,queue_len_after,note
2025-11-18 11:02:48,enqueue,job-01ea3466edcc,1,"SJF g=4, T_est=1103.60s, batch=128"
2025-11-18 11:02:48,dequeue_start,job-01ea3466edcc,0,"SJF g=4, cluster=clusterA, T_est=1103.60s"
2025-11-18 11:06:05,enqueue,job-187dfb783d64,1,"SJF g=2, T_est=1945.60s, batch=128"
2025-11-18 11:06:06,dequeue_start,job-187dfb783d64,0,"SJF g=2, cluster=clusterB, T_est=1945.60s"
2025-11-18 11:11:07,enqueue,job-a8135144994d,1,"SJF g=2, T_est=2868.80s, batch=64"
2025-11-18 11:11:07,dequeue_start,job-a8135144994d,0,"SJF g=2, cluster=clusterA, T_est=2868.80s"
2025-11-18 11:14:55,enqueue,job-eb2563a157a3,1,"SJF g=1, T_est=1060.00s, batch=32"
2025-11-18 11:14:55,dequeue_start,job-eb2563a157a3,0,"SJF g=1, cluster=clusterA, T_est=1060.00s"
2025-11-18 11:14:56,enqueue,job-3fc15cb88b04,1,"SJF g=2, T_est=5652.00s, batch=64"
2025-11-18 11:14:56,dequeue_start,job-3fc15cb88b04,0,"SJF g=2, cluster=clusterB, T_est=5652.00s"
2025-11-18 11:20:39,enqueue,job-f3c770e48290,1,"SJF g=4, T_est=1932.00s, batch=32"
2025-11-18 11:24:16,enqueue,job-52bf0a7eff11,2,"SJF g=2, T_est=4036.20s, batch=64"
2025-11-18 11:25:42,enqueue,job-0732de336201,3,"SJF g=1, T_est=4072.20s, batch=64"
2025-11-18 11:25:42,dequeue_start,job-0732de336201,2,"SJF g=1, cluster=clusterA, T_est=4072.20s"
2025-11-18 11:27:15,enqueue,job-f3a1e56a114a,3,"SJF g=4, T_est=6158.40s, batch=32"
2025-11-18 11:28:57,dequeue_start,job-52bf0a7eff11,2,"SJF g=2, cluster=clusterB, T_est=4036.20s"
2025-11-18 11:36:44,enqueue,job-06ebcb69cd02,3,"SJF g=2, T_est=2868.80s, batch=16"
2025-11-18 11:38:17,enqueue,job-0ee7f7774fc2,4,"SJF g=1, T_est=2303.80s, batch=16"
2025-11-18 11:39:12,enqueue,job-563bd37e3f8e,5,"SJF g=1, T_est=2303.80s, batch=16"
2025-11-18 11:40:58,dequeue_start,job-0ee7f7774fc2,4,"SJF g=1, cluster=clusterA, T_est=2303.80s"
2025-11-18 11:49:57,enqueue,job-c0606d7f44a7,5,"SJF g=2, T_est=4036.20s, batch=64"
2025-11-18 11:56:31,enqueue,job-3f3debf9942f,6,"SJF g=4, T_est=1103.60s, batch=32"
2025-11-18 11:59:28,enqueue,job-d10b7502d7ee,7,"SJF g=2, T_est=5652.00s, batch=32"
2025-11-18 12:00:11,enqueue,job-b8524d374f6c,8,"SJF g=1, T_est=4072.20s, batch=64"
2025-11-18 12:09:46,dequeue_start,job-563bd37e3f8e,7,"SJF g=1, cluster=clusterB, T_est=2303.80s"
2025-11-18 12:09:46,dequeue_start,job-b8524d374f6c,6,"SJF g=1, cluster=clusterB, T_est=4072.20s"
2025-11-18 12:09:56,dequeue_start,job-06ebcb69cd02,5,"SJF g=2, cluster=clusterB, T_est=2868.80s"
2025-11-18 12:12:28,enqueue,job-2101717cd0fa,6,"SJF g=4, T_est=71.20s, batch=8"
2025-11-18 12:14:06,enqueue,job-b3c00a8f928f,7,"SJF g=1, T_est=5941.80s, batch=32"
2025-11-18 12:14:47,dequeue_start,job-c0606d7f44a7,6,"SJF g=2, cluster=clusterA, T_est=4036.20s"
2025-11-18 12:22:19,enqueue,job-0c77c10bad10,7,"SJF g=1, T_est=4072.20s, batch=64"
