ts,cluster,queue_len,slots_total,slots_used,free,U_t,E_t,p_fair,lam_time,lam_cost,lam_fair
2026-01-14 17:27:33,clusterA,0,4,0,4,0.0,0.0,0.0,1.0,0.0,0.0
2026-01-14 17:27:33,clusterB,0,4,0,4,0.0,0.0,0.0,1.0,0.0,0.0
2026-01-14 17:27:38,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2026-01-14 17:27:38,clusterB,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2026-01-14 17:27:43,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2026-01-14 17:27:43,clusterB,0,4,0,4,0.0,0.04,0.0,0.96,0.04,0.0
2026-01-14 17:27:48,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2026-01-14 17:27:48,clusterB,0,4,0,4,0.0,0.07,0.0,0.9299999999999999,0.07,0.0
2026-01-14 17:27:53,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2026-01-14 17:27:53,clusterB,0,4,0,4,0.0,0.11,0.0,0.89,0.11,0.0
2026-01-14 17:27:58,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2026-01-14 17:27:58,clusterB,0,4,0,4,0.0,0.14,0.0,0.86,0.14,0.0
2026-01-14 17:28:03,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2026-01-14 17:28:03,clusterB,0,4,0,4,0.0,0.18,0.0,0.8200000000000001,0.18,0.0
2026-01-14 17:28:08,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2026-01-14 17:28:08,clusterB,0,4,0,4,0.0,0.22,0.0,0.78,0.22,0.0
2026-01-14 17:28:13,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2026-01-14 17:28:13,clusterB,0,4,0,4,0.0,0.26,0.0,0.74,0.26,0.0
2026-01-14 17:28:18,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2026-01-14 17:28:18,clusterB,0,4,0,4,0.0,0.3,0.0,0.7,0.3,0.0
2026-01-14 17:28:23,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2026-01-14 17:28:23,clusterB,0,4,0,4,0.0,0.33,0.0,0.6699999999999999,0.33,0.0
2026-01-14 17:28:28,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2026-01-14 17:28:28,clusterB,0,4,0,4,0.0,0.37,0.0,0.63,0.37,0.0
2026-01-14 17:28:33,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2026-01-14 17:28:33,clusterB,0,4,0,4,0.0,0.41,0.0,0.5900000000000001,0.41,0.0
2026-01-14 17:28:38,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2026-01-14 17:28:38,clusterB,0,4,0,4,0.0,0.45,0.0,0.55,0.45,0.0
2026-01-14 17:28:43,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2026-01-14 17:28:43,clusterB,0,4,0,4,0.0,0.49,0.0,0.51,0.49,0.0
2026-01-14 17:28:48,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2026-01-14 17:28:48,clusterB,0,4,0,4,0.0,0.52,0.0,0.48,0.52,0.0
2026-01-14 17:28:53,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2026-01-14 17:28:53,clusterB,0,4,0,4,0.0,0.56,0.0,0.43999999999999995,0.56,0.0
2026-01-14 17:28:58,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2026-01-14 17:28:58,clusterB,0,4,0,4,0.0,0.6,0.0,0.4,0.6,0.0
2026-01-14 17:29:03,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2026-01-14 17:29:03,clusterB,0,4,0,4,0.0,0.64,0.0,0.36,0.64,0.0
2026-01-14 17:29:08,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2026-01-14 17:29:08,clusterB,0,4,0,4,0.0,0.68,0.0,0.31999999999999995,0.68,0.0
2026-01-14 17:29:13,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2026-01-14 17:29:13,clusterB,0,4,0,4,0.0,0.71,0.0,0.29000000000000004,0.71,0.0
2026-01-14 17:29:18,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2026-01-14 17:29:18,clusterB,0,4,0,4,0.0,0.75,0.0,0.25,0.75,0.0
2026-01-14 17:29:23,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2026-01-14 17:29:23,clusterB,0,4,0,4,0.0,0.79,0.0,0.20999999999999996,0.79,0.0
2026-01-14 17:29:28,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2026-01-14 17:29:28,clusterB,0,4,0,4,0.0,0.83,0.0,0.17000000000000004,0.83,0.0
2026-01-14 17:29:33,clusterA,0,4,1,3,0.0,0.02,0.0,0.98,0.02,0.0
2026-01-14 17:29:33,clusterB,0,4,0,4,0.0,0.87,0.0,0.13,0.87,0.0
2026-01-14 17:29:38,clusterA,0,4,1,3,0.0,0.02,0.0,0.98,0.02,0.0
2026-01-14 17:29:38,clusterB,0,4,0,4,0.0,0.88,0.0,0.12,0.88,0.0
2026-01-14 17:29:43,clusterA,0,4,1,3,0.01,0.03,0.0,0.97,0.03,0.0
2026-01-14 17:29:43,clusterB,0,4,1,3,0.0,0.9,0.0,0.09999999999999998,0.9,0.0
2026-01-14 17:29:48,clusterA,0,4,1,3,0.02,0.03,0.0,0.97,0.03,0.0
2026-01-14 17:29:48,clusterB,0,4,1,3,0.0,0.91,0.0,0.08999999999999997,0.91,0.0
2026-01-14 17:29:53,clusterA,0,4,1,3,0.03,0.03,0.0,0.97,0.03,0.0
2026-01-14 17:29:53,clusterB,0,4,1,3,0.0,0.91,0.0,0.08999999999999997,0.91,0.0
2026-01-14 17:29:58,clusterA,0,4,1,3,0.04,0.04,0.0,0.96,0.04,0.0
2026-01-14 17:29:58,clusterB,0,4,1,3,0.0,0.91,0.0,0.08999999999999997,0.91,0.0
2026-01-14 17:30:03,clusterA,0,4,1,3,0.05,0.04,0.0,0.96,0.04,0.0
2026-01-14 17:30:03,clusterB,0,4,1,3,0.0,0.91,0.0,0.08999999999999997,0.91,0.0
2026-01-14 17:30:08,clusterA,0,4,1,3,0.06,0.05,0.0,0.95,0.05,0.0
2026-01-14 17:30:08,clusterB,0,4,1,3,0.0,0.91,0.0,0.08999999999999997,0.91,0.0
2026-01-14 17:30:13,clusterA,0,4,1,3,0.06,0.05,0.0,0.95,0.05,0.0
2026-01-14 17:30:13,clusterB,0,4,1,3,0.0,0.91,0.0,0.08999999999999997,0.91,0.0
2026-01-14 17:30:18,clusterA,0,4,1,3,0.07,0.05,0.0,0.95,0.05,0.0
2026-01-14 17:30:18,clusterB,0,4,1,3,0.0,0.91,0.0,0.08999999999999997,0.91,0.0
2026-01-14 17:30:23,clusterA,0,4,1,3,0.08,0.06,0.0,0.94,0.06,0.0
2026-01-14 17:30:23,clusterB,0,4,1,3,0.0,0.95,0.0,0.050000000000000044,0.95,0.0
2026-01-14 17:30:28,clusterA,0,4,1,3,0.09,0.06,0.0,0.94,0.06,0.0
2026-01-14 17:30:28,clusterB,0,4,1,3,0.0,0.99,0.0,0.010000000000000009,0.99,0.0
2026-01-14 17:30:33,clusterA,0,4,1,3,0.1,0.07,0.0,0.9299999999999999,0.07,0.0
2026-01-14 17:30:33,clusterB,0,4,1,3,0.01,1.0,0.0,0.0,1.0,0.0
2026-01-14 17:30:38,clusterA,0,4,1,3,0.11,0.07,0.0,0.9299999999999999,0.07,0.0
2026-01-14 17:30:38,clusterB,0,4,1,3,0.02,1.0,0.0,0.0,1.0,0.0
2026-01-14 17:30:43,clusterA,0,4,1,3,0.1,0.07,0.0,0.9299999999999999,0.07,0.0
2026-01-14 17:30:43,clusterB,0,4,1,3,0.02,1.0,0.0,0.0,1.0,0.0
2026-01-14 17:30:48,clusterA,0,4,1,3,0.1,0.07,0.0,0.9299999999999999,0.07,0.0
2026-01-14 17:30:48,clusterB,0,4,1,3,0.03,1.0,0.0,0.0,1.0,0.0
2026-01-14 17:30:53,clusterA,0,4,1,3,0.1,0.07,0.0,0.9299999999999999,0.07,0.0
2026-01-14 17:30:53,clusterB,0,4,1,3,0.03,1.0,0.0,0.0,1.0,0.0
2026-01-14 17:30:58,clusterA,0,4,1,3,0.1,0.07,0.0,0.9299999999999999,0.07,0.0
2026-01-14 17:30:58,clusterB,0,4,1,3,0.03,1.0,0.0,0.0,1.0,0.0
2026-01-14 17:31:03,clusterA,0,4,1,3,0.11,0.07,0.0,0.9299999999999999,0.07,0.0
2026-01-14 17:31:03,clusterB,0,4,1,3,0.04,1.0,0.0,0.0,1.0,0.0
