job_id,cluster,model,dataset,world_size,submitted_ts,started_ts,end_ts,queued_sec,jct_sec,status
job-143d611a6d1b,clusterA,DeepSpeech2,ARCTIC,1,1768379369.6104884,1768379370.2915444,,0.681056022644043,,running
job-dcbe716d7c62,clusterB,DeepSpeech2,ARCTIC,1,1768379380.3494902,1768379381.353471,,1.0039808750152588,,running
job-c49d3f525a55,clusterA,EfficientNetV2-S,MNIST,2,1768379568.6636033,1768379569.616891,,0.9532876014709473,,running
job-2b1af9a714a0,clusterB,DistilBERT,SST-2,2,1768379601.7283318,1768379604.4279566,,2.69962477684021,,running
job-dcbe716d7c62,clusterB,DeepSpeech2,ARCTIC,1,1768379380.3494902,1768379381.353471,1768379704.9180126,1.0039808750152588,323.56454157829285,completed
job-143d611a6d1b,clusterA,DeepSpeech2,ARCTIC,1,1768379369.6104884,1768379370.2915444,1768379742.4660118,0.681056022644043,372.17446732521057,completed
job-2b1af9a714a0,clusterB,DistilBERT,SST-2,2,1768379601.7283318,1768379604.4279566,1768381463.6525197,2.69962477684021,1859.2245631217957,completed
job-ad2885121ba3,clusterB,DenseNet-121,TinyImageNet,4,1768379656.4580312,1768381464.7874038,,1808.3293726444244,,running
job-618232183fb0,clusterA,DeepSpeech2,ARCTIC,1,1768379683.040723,1768381464.826564,,1781.7858409881592,,running
job-e3c892a56f99,clusterA,ResNet-18,CIFAR-100,1,1768379731.123167,1768381464.8528597,,1733.729692697525,,running
job-e3c892a56f99,clusterA,ResNet-18,CIFAR-100,1,1768379731.123167,1768381464.8528597,1768381534.3356135,1733.729692697525,69.48275375366211,completed
job-1a0148f92ce8,clusterA,DistilBERT,SST-2,1,1768379808.4953957,1768381534.953888,,1726.4584922790527,,running
job-1a0148f92ce8,clusterA,DistilBERT,SST-2,1,1768379808.4953957,1768381534.953888,1768381549.3673847,1726.4584922790527,14.413496732711792,completed
job-618232183fb0,clusterA,DeepSpeech2,ARCTIC,1,1768379683.040723,1768381464.826564,1768381689.4111257,1781.7858409881592,224.58456158638,completed
job-c49d3f525a55,clusterA,EfficientNetV2-S,MNIST,2,1768379568.6636033,1768379569.616891,1768381874.6661682,0.9532876014709473,2305.049277305603,completed
job-894e43113c6a,clusterA,DeepSpeech2,ARCTIC,4,1768380062.5542114,1768381875.432653,,1812.8784415721893,,running
job-894e43113c6a,clusterA,DeepSpeech2,ARCTIC,4,1768380062.5542114,1768381875.432653,1768381994.73731,1812.8784415721893,119.30465698242188,completed
job-f7366b47b0d6,clusterA,DistilBERT,SST-2,2,1768380302.900652,1768381995.616035,,1692.715383052826,,running
