ts,event,job_id,queue_len_after,note
2026-01-14 17:29:29,enqueue,job-143d611a6d1b,1,"g=1, batch=8"
2026-01-14 17:29:30,dequeue_start,job-143d611a6d1b,0,"g=1, cluster=clusterA"
2026-01-14 17:29:40,enqueue,job-dcbe716d7c62,1,"g=1, batch=8"
2026-01-14 17:29:41,dequeue_start,job-dcbe716d7c62,0,"g=1, cluster=clusterB"
2026-01-14 17:32:48,enqueue,job-c49d3f525a55,1,"g=2, batch=64"
2026-01-14 17:32:49,dequeue_start,job-c49d3f525a55,0,"g=2, cluster=clusterA"
2026-01-14 17:33:21,enqueue,job-2b1af9a714a0,1,"g=2, batch=64"
2026-01-14 17:33:24,dequeue_start,job-2b1af9a714a0,0,"g=2, cluster=clusterB"
2026-01-14 17:34:16,enqueue,job-ad2885121ba3,1,"g=4, batch=32"
2026-01-14 17:34:43,enqueue,job-618232183fb0,2,"g=1, batch=16"
2026-01-14 17:35:31,enqueue,job-e3c892a56f99,3,"g=1, batch=128"
2026-01-14 17:36:48,enqueue,job-1a0148f92ce8,4,"g=1, batch=32"
2026-01-14 17:41:02,enqueue,job-894e43113c6a,5,"g=4, batch=32"
2026-01-14 17:45:02,enqueue,job-f7366b47b0d6,6,"g=2, batch=32"
2026-01-14 17:46:05,enqueue,job-fd29c28f2802,7,"g=1, batch=64"
2026-01-14 17:47:05,enqueue,job-3b6f4b061b78,8,"g=2, batch=64"
2026-01-14 17:48:44,enqueue,job-c4fa1aed17c9,9,"g=4, batch=64"
2026-01-14 17:57:33,enqueue,job-ae60b0f750cd,10,"g=4, batch=32"
2026-01-14 18:03:32,enqueue,job-558ddf1c3e35,11,"g=4, batch=128"
2026-01-14 18:04:24,dequeue_start,job-ad2885121ba3,10,"g=4, cluster=clusterB"
2026-01-14 18:04:24,dequeue_start,job-618232183fb0,9,"g=1, cluster=clusterA"
2026-01-14 18:04:24,dequeue_start,job-e3c892a56f99,8,"g=1, cluster=clusterA"
2026-01-14 18:05:34,dequeue_start,job-1a0148f92ce8,7,"g=1, cluster=clusterA"
2026-01-14 18:09:05,enqueue,job-1e6f55635e5b,8,"g=1, batch=64"
2026-01-14 18:10:30,enqueue,job-2c7bda96e570,9,"g=2, batch=128"
2026-01-14 18:10:38,enqueue,job-8ccd8ef3d6b0,10,"g=1, batch=32"
2026-01-14 18:10:53,enqueue,job-410def6d14c6,11,"g=4, batch=32"
2026-01-14 18:11:11,enqueue,job-72487e9ac1f1,12,"g=1, batch=64"
2026-01-14 18:11:15,dequeue_start,job-894e43113c6a,11,"g=4, cluster=clusterA"
2026-01-14 18:13:15,dequeue_start,job-f7366b47b0d6,10,"g=2, cluster=clusterA"
2026-01-14 18:13:15,dequeue_start,job-fd29c28f2802,9,"g=1, cluster=clusterA"
2026-01-14 18:13:30,dequeue_start,job-3b6f4b061b78,8,"g=2, cluster=clusterA"
2026-01-14 18:13:45,dequeue_start,job-c4fa1aed17c9,7,"g=4, cluster=clusterA"
2026-01-14 18:35:14,dequeue_start,job-ae60b0f750cd,6,"g=4, cluster=clusterB"
2026-01-14 19:06:05,dequeue_start,job-558ddf1c3e35,5,"g=4, cluster=clusterB"
2026-01-14 19:08:18,dequeue_start,job-1e6f55635e5b,4,"g=1, cluster=clusterA"
2026-01-14 19:08:18,dequeue_start,job-2c7bda96e570,3,"g=2, cluster=clusterA"
2026-01-14 19:08:18,dequeue_start,job-8ccd8ef3d6b0,2,"g=1, cluster=clusterA"
2026-01-14 19:36:38,dequeue_start,job-410def6d14c6,1,"g=4, cluster=clusterB"
2026-01-14 19:36:38,dequeue_start,job-72487e9ac1f1,0,"g=1, cluster=clusterA"
