ts,cluster,queue_len,slots_total,slots_used,free,U_t,E_t,p_fair,lam_time,lam_cost,lam_fair
2025-11-23 22:33:48,Cluster_A,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2025-11-23 22:33:48,Cluster_B,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2025-11-23 22:33:53,Cluster_A,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2025-11-23 22:33:53,Cluster_B,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2025-11-23 22:33:58,Cluster_A,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2025-11-23 22:33:58,Cluster_B,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2025-11-23 22:34:03,Cluster_A,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2025-11-23 22:34:03,Cluster_B,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2025-11-23 22:34:08,Cluster_A,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2025-11-23 22:34:08,Cluster_B,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2025-11-23 22:34:13,Cluster_A,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2025-11-23 22:34:13,Cluster_B,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2025-11-23 22:34:18,Cluster_A,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2025-11-23 22:34:18,Cluster_B,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2025-11-23 22:34:23,Cluster_A,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2025-11-23 22:34:23,Cluster_B,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2025-11-23 22:34:28,Cluster_A,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2025-11-23 22:34:28,Cluster_B,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2025-11-23 22:34:33,Cluster_A,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2025-11-23 22:34:33,Cluster_B,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2025-11-23 22:34:38,Cluster_A,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2025-11-23 22:34:38,Cluster_B,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2025-11-23 22:34:43,Cluster_A,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2025-11-23 22:34:43,Cluster_B,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2025-11-23 22:34:48,Cluster_A,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2025-11-23 22:34:48,Cluster_B,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2025-11-23 22:34:53,Cluster_A,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2025-11-23 22:34:53,Cluster_B,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2025-11-23 22:34:58,Cluster_A,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2025-11-23 22:34:58,Cluster_B,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2025-11-23 22:35:03,Cluster_A,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2025-11-23 22:35:03,Cluster_B,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2025-11-23 22:35:08,Cluster_A,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2025-11-23 22:35:08,Cluster_B,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2025-11-23 22:35:13,Cluster_A,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2025-11-23 22:35:13,Cluster_B,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2025-11-23 22:35:18,Cluster_A,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2025-11-23 22:35:18,Cluster_B,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2025-11-23 22:35:23,Cluster_A,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2025-11-23 22:35:23,Cluster_B,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2025-11-23 22:35:28,Cluster_A,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2025-11-23 22:35:28,Cluster_B,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2025-11-23 22:35:33,Cluster_A,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2025-11-23 22:35:33,Cluster_B,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2025-11-23 22:35:38,Cluster_A,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2025-11-23 22:35:38,Cluster_B,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2025-11-23 22:35:43,Cluster_A,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2025-11-23 22:35:43,Cluster_B,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2025-11-23 22:35:48,Cluster_A,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2025-11-23 22:35:48,Cluster_B,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2025-11-23 22:35:53,Cluster_A,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2025-11-23 22:35:53,Cluster_B,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2025-11-23 22:35:58,Cluster_A,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2025-11-23 22:35:58,Cluster_B,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2025-11-23 22:36:03,Cluster_A,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2025-11-23 22:36:03,Cluster_B,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2025-11-23 22:36:08,Cluster_A,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2025-11-23 22:36:08,Cluster_B,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2025-11-23 22:36:13,Cluster_A,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2025-11-23 22:36:13,Cluster_B,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2025-11-23 22:36:18,Cluster_A,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2025-11-23 22:36:18,Cluster_B,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2025-11-23 22:36:23,Cluster_A,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2025-11-23 22:36:23,Cluster_B,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2025-11-23 22:36:28,Cluster_A,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2025-11-23 22:36:28,Cluster_B,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2025-11-23 22:36:33,Cluster_A,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2025-11-23 22:36:33,Cluster_B,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2025-11-23 22:36:38,Cluster_A,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2025-11-23 22:36:38,Cluster_B,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2025-11-23 22:36:43,Cluster_A,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2025-11-23 22:36:43,Cluster_B,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2025-11-23 22:36:48,Cluster_A,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2025-11-23 22:36:48,Cluster_B,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2025-11-23 22:36:53,Cluster_A,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2025-11-23 22:36:53,Cluster_B,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2025-11-23 22:36:58,Cluster_A,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2025-11-23 22:36:58,Cluster_B,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2025-11-23 22:37:03,Cluster_A,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2025-11-23 22:37:03,Cluster_B,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
