job_id,cluster,model,dataset,world_size,submitted_ts,started_ts,end_ts,queued_sec,jct_sec,status
job-5a3959efe243,clusterA,EfficientNetV2-S,MNIST,2,1769202353.539291,1769202353.7883482,,0.24905729293823242,,running
job-330d763103a8,clusterA,DistilBERT,SST-2,2,1769202354.0620606,1769202354.8269203,,0.764859676361084,,running
job-b561a4c2d7de,clusterB,ResNet-18,CIFAR-100,4,1769202697.2290702,1769202702.930985,,5.7019147872924805,,running
job-b561a4c2d7de,clusterB,ResNet-18,CIFAR-100,4,1769202697.2290702,1769202702.930985,1769203287.079872,5.7019147872924805,584.1488869190216,FINISHED
job-413d6b1f6836,clusterB,ResNet-18,CIFAR-100,4,1769203092.8681068,1769203294.5300333,,201.66192650794983,,running
job-413d6b1f6836,clusterB,ResNet-18,CIFAR-100,4,1769203092.8681068,1769203294.5300333,1769204533.258073,201.66192650794983,1238.728039741516,FINISHED
job-bb6950271a09,clusterB,DeepSpeech2,ARCTIC,1,1769204455.3269274,1769204533.925378,,78.59845066070557,,running
job-cba67ed53b55,clusterB,ResNet-18,CIFAR-100,1,1769203662.5691369,1769204533.9420314,,871.372894525528,,running
job-c20e9850b27a,clusterB,DistilBERT,SST-2,1,1769202914.1322036,1769204533.9615479,,1619.8293442726135,,running
job-a31a8eb50482,clusterB,DistilBERT,SST-2,1,1769203000.0214114,1769204533.9831934,,1533.9617819786072,,running
job-bb6950271a09,clusterB,DeepSpeech2,ARCTIC,1,1769204455.3269274,1769204533.925378,1769204693.4181254,78.59845066070557,159.49274730682373,FINISHED
job-04a0d8c50910,clusterB,DistilBERT,SST-2,1,1769204849.4702,1769204850.3587246,,0.8885245323181152,,running
job-5a3959efe243,clusterA,EfficientNetV2-S,MNIST,2,1769202353.539291,1769202353.7883482,1769204888.1113474,0.24905729293823242,2534.322999238968,FINISHED
job-e766c6c6ccaa,clusterA,ResNet-50,CIFAR-10,2,1769203810.192073,1769204888.446533,,1078.2544598579407,,running
job-cba67ed53b55,clusterB,ResNet-18,CIFAR-100,1,1769203662.5691369,1769204533.9420314,1769205796.548552,871.372894525528,1262.606520652771,FINISHED
job-e766c6c6ccaa,clusterA,ResNet-50,CIFAR-10,2,1769203810.192073,1769204888.446533,1769206104.3244822,1078.2544598579407,1215.8779492378235,FINISHED
job-2e63e0db8f89,clusterA,EfficientNetV2-S,MNIST,2,1769205069.1969516,1769206104.8425837,,1035.6456320285797,,running
job-3b7a597e4983,clusterB,DistilBERT,SST-2,1,1769206396.9608207,1769206397.361301,,0.4004802703857422,,running
job-c20e9850b27a,clusterB,DistilBERT,SST-2,1,1769202914.1322036,1769204533.9615479,1769207142.210413,1619.8293442726135,2608.2488651275635,FINISHED
job-2d29632b5233,clusterB,DistilBERT,SST-2,1,1769206770.038114,1769207143.2218657,,373.18375158309937,,running
job-04a0d8c50910,clusterB,DistilBERT,SST-2,1,1769204849.4702,1769204850.3587246,1769207496.0411506,0.8885245323181152,2645.6824259757996,FINISHED
job-40fc4265740d,clusterB,EfficientNetV2-S,MNIST,1,1769208116.4444926,1769208117.3458412,,0.9013485908508301,,running
job-2e63e0db8f89,clusterA,EfficientNetV2-S,MNIST,2,1769205069.1969516,1769206104.8425837,1769208631.815375,1035.6456320285797,2526.9727914333344,FINISHED
job-41d9f31fde9e,clusterA,DistilBERT,SST-2,2,1769205026.5420823,1769208631.979757,,3605.4376747608185,,running
job-a31a8eb50482,clusterB,DistilBERT,SST-2,1,1769203000.0214114,1769204533.9831934,1769209019.4298823,1533.9617819786072,4485.446688890457,FINISHED
job-ce75ef86b496,clusterB,DeepSpeech2,ARCTIC,1,1769209503.543744,1769209504.0324585,,0.48871445655822754,,running
job-2d29632b5233,clusterB,DistilBERT,SST-2,1,1769206770.038114,1769207143.2218657,1769209589.3953712,373.18375158309937,2446.1735055446625,FINISHED
job-ce75ef86b496,clusterB,DeepSpeech2,ARCTIC,1,1769209503.543744,1769209504.0324585,1769209770.0622535,0.48871445655822754,266.02979493141174,FINISHED
job-0c0c275080c0,clusterB,DistilBERT,SST-2,2,1769208067.4611816,1769209770.4090383,,1702.9478566646576,,running
job-3b7a597e4983,clusterB,DistilBERT,SST-2,1,1769206396.9608207,1769206397.361301,1769210120.5835745,0.4004802703857422,3723.2222735881805,FINISHED
job-db853cb731d8,clusterB,ResNet-18,CIFAR-100,1,1769210100.7192864,1769210120.829046,,20.10975956916809,,running
job-330d763103a8,clusterA,DistilBERT,SST-2,2,1769202354.0620606,1769202354.8269203,1769210168.4050014,0.764859676361084,7813.578081130981,FINISHED
job-fd56190247f8,clusterA,DistilBERT,SST-2,1,1769210162.8108828,1769210168.9150178,,6.104135036468506,,running
job-859338c113d6,clusterA,ResNet-50,CIFAR-10,1,1769210460.4917724,1769210461.2759597,,0.7841873168945312,,running
job-db853cb731d8,clusterB,ResNet-18,CIFAR-100,1,1769210100.7192864,1769210120.829046,1769211201.5275266,20.10975956916809,1080.698480606079,FINISHED
job-f9789e2f2993,clusterB,EfficientNetV2-S,MNIST,1,1769211850.176897,1769211850.8965373,,0.7196402549743652,,running
job-40fc4265740d,clusterB,EfficientNetV2-S,MNIST,1,1769208116.4444926,1769208117.3458412,1769212430.6785476,0.9013485908508301,4313.332706451416,FINISHED
job-859338c113d6,clusterA,ResNet-50,CIFAR-10,1,1769210460.4917724,1769210461.2759597,1769212765.9202645,0.7841873168945312,2304.64430475235,FINISHED
job-0c0c275080c0,clusterB,DistilBERT,SST-2,2,1769208067.4611816,1769209770.4090383,1769213207.849986,1702.9478566646576,3437.4409477710724,FINISHED
job-9abdfac6a7ce,clusterB,ResNet-50,CIFAR-10,2,1769212348.151017,1769213208.4835796,,860.3325626850128,,running
job-dd8fe71c768e,clusterA,DistilBERT,SST-2,1,1769213950.7889776,1769213951.3635633,,0.5745856761932373,,running
job-fd56190247f8,clusterA,DistilBERT,SST-2,1,1769210162.8108828,1769210168.9150178,1769214032.2560558,6.104135036468506,3863.3410379886627,FINISHED
job-9abdfac6a7ce,clusterB,ResNet-50,CIFAR-10,2,1769212348.151017,1769213208.4835796,1769214582.741469,860.3325626850128,1374.2578892707825,FINISHED
job-874412c321c6,clusterB,DeepSpeech2,ARCTIC,2,1769213406.774876,1769214583.1374056,,1176.36252951622,,running
job-a7031c8d4524,clusterA,EfficientNetV2-S,MNIST,1,1769214762.8941777,1769214763.3777003,,0.4835226535797119,,running
job-874412c321c6,clusterB,DeepSpeech2,ARCTIC,2,1769213406.774876,1769214583.1374056,1769214772.936693,1176.36252951622,189.79928731918335,FINISHED
job-79f832bc774f,clusterB,DistilBERT,SST-2,2,1769214361.8132584,1769214773.4435534,,411.63029503822327,,running
job-95eec1487cfb,clusterB,ResNet-18,CIFAR-100,1,1769214795.2695851,1769214795.4988797,,0.2292945384979248,,running
job-95eec1487cfb,clusterB,ResNet-18,CIFAR-100,1,1769214795.2695851,1769214795.4988797,1769215971.0620086,0.2292945384979248,1175.5631289482117,FINISHED
job-c11ec5ef0ef6,clusterB,DeepSpeech2,ARCTIC,1,1769215296.5189784,1769215971.8521035,,675.3331251144409,,running
job-41d9f31fde9e,clusterA,DistilBERT,SST-2,2,1769205026.5420823,1769208631.979757,1769216109.294307,3605.4376747608185,7477.314549922943,FINISHED
job-fb0f21598de4,clusterA,DeepSpeech2,ARCTIC,2,1769215584.934276,1769216110.0612524,,525.1269762516022,,running
job-f9789e2f2993,clusterB,EfficientNetV2-S,MNIST,1,1769211850.176897,1769211850.8965373,1769216116.2288628,0.7196402549743652,4265.332325458527,FINISHED
job-2ac36db6c43b,clusterB,DistilBERT,SST-2,1,1769215287.2781763,1769216117.0932195,,829.8150432109833,,running
job-fb0f21598de4,clusterA,DeepSpeech2,ARCTIC,2,1769215584.934276,1769216110.0612524,1769216274.473689,525.1269762516022,164.4124367237091,FINISHED
job-2e3f7a2c8a4c,clusterA,DistilBERT,SST-2,1,1769215577.988385,1769216275.2975893,,697.3092043399811,,running
job-c11ec5ef0ef6,clusterB,DeepSpeech2,ARCTIC,1,1769215296.5189784,1769215971.8521035,1769216346.4583697,675.3331251144409,374.6062662601471,FINISHED
job-abe2440c793f,clusterA,DeepSpeech2,ARCTIC,1,1769217101.8575382,1769217102.264068,,0.40652966499328613,,running
job-dd8fe71c768e,clusterA,DistilBERT,SST-2,1,1769213950.7889776,1769213951.3635633,1769217180.297769,0.5745856761932373,3228.9342057704926,FINISHED
job-abe2440c793f,clusterA,DeepSpeech2,ARCTIC,1,1769217101.8575382,1769217102.264068,1769217265.390722,0.40652966499328613,163.1266541481018,FINISHED
job-d51f583488ac,clusterA,EfficientNetV2-S,MNIST,2,1769216029.5445735,1769217265.4920382,,1235.9474647045135,,running
job-0aa9bf50d202,clusterB,EfficientNetV2-S,MNIST,1,1769217950.2895598,1769217951.287607,,0.9980471134185791,,running
job-a7031c8d4524,clusterA,EfficientNetV2-S,MNIST,1,1769214762.8941777,1769214763.3777003,1769218831.9976974,0.4835226535797119,4068.619997024536,FINISHED
job-2ac36db6c43b,clusterB,DistilBERT,SST-2,1,1769215287.2781763,1769216117.0932195,1769219098.9754412,829.8150432109833,2981.882221698761,FINISHED
